trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.5, 'e': 0.882947592858927}",20,0,-76.07360439221361,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
141,False,"{'a': 0.5, 'e': 0.8813034520649922}",25,11,-65.90091799162013,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
142,False,"{'a': 0.5, 'e': 0.8796485728666165}",20,0,-88.10822371458096,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.8779829754279805}",25,0,-26.021053261907955,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.8763066800438636}",20,0,-143.27994778513045,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.8746197071393957}",30,4,-176.8832855444916,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 3}",1
146,False,"{'a': 0.5, 'e': 0.8729220772698096}",30,0,-86.28395716329197,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.8712138111201895}",25,0,-116.77105082483381,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
148,False,"{'a': 0.5, 'e': 0.869494929505219}",20,0,-17.04942000451927,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.8677654533689284}",20,10,-1.9934704485509807,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.8660254037844387}",25,0,-90.1525647603138,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.8642748019537047}",20,0,-100.34815332126347,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.8625136692072575}",25,4,-123.19832816123086,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 2}",1
153,False,"{'a': 0.5, 'e': 0.8607420270039436}",25,0,-120.99966833924917,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.8589598969306644}",20,0,-69.59643767064108,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.8571673007021123}",30,0,-168.57149683987154,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 4}",0
156,False,"{'a': 0.5, 'e': 0.8553642601605066}",35,0,-173.78432805133372,"{0: 22, 1: 4, 2: 6, 3: 0, 4: 3}",0
157,False,"{'a': 0.5, 'e': 0.8535507972753275}",20,0,-157.54312710784572,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.8517269341430476}",20,0,-69.14736736607404,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.849892692986864}",25,0,-104.73974432836117,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.848048096156426}",20,0,3.138050257446587,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.846193166127564}",30,23,4.786374413065272,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.8443279255020151}",20,10,-72.67863599212606,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.8424523970071476}",25,0,-20.27604650866121,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.8405666034956842}",25,0,-54.04674012124234,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.838670567945424}",30,0,-84.29385237516723,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.8367643134589616}",20,4,-37.13626779355163,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.8348478632634065}",20,0,-80.64242146165627,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.8329212407100994}",20,10,-48.592264388089255,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.8309844692743282}",20,0,-44.81331374685606,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.8290375725550416}",35,17,-68.14093363931856,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.8270805742745618}",20,16,6.633114489587271,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.8251134982782952}",25,0,-42.043209403960184,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.8231363685344418}",25,0,-97.3263455136265,"{0: 11, 1: 5, 2: 9, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.821149209133704}",20,0,-93.17343821939973,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.8191520442889918}",35,0,-91.17906860850415,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
